"";"elokuva";"tukisumma";"tukityyppi";"lajityyppi";"hakija";"esittelija";"tukivuosi";"tukipvm"
"777";"Pelintekijä";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Dionysos Films Oy";"Jukka Asikainen";2012;2012-09-19
"778";"Anarkisti";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Jukka Asikainen";2012;2012-09-19
"779";"Don't Come After Me";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Mangaani Motion Pictures Oy";"Jukka Asikainen";2012;2012-09-19
"780";"Perisynti";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oktober Oy";"Jukka Asikainen";2012;2012-09-19
"781";"Teille vai meille";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Huh huh -Filmi Oy";"Jukka Asikainen";2012;2012-05-30
"782";"Kirjeitä Suomesta - Letters from Finland";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinoproduction Oy";"Jukka Asikainen";2012;2012-05-30
"783";"Whiteout";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kongo Media Oy";"Jukka Asikainen";2012;2012-05-30
"784";"Ikitie";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Jukka Asikainen";2012;2012-05-30
"785";"Kesäkaverit";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Bronson Club Oy";"Kaisu Isto";2012;2012-05-30
"786";"Le Grand Sancy";40000;"Kehittämistuki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Kaisu Isto";2012;2012-05-30
"787";"Parachute Dreams";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Koskela Art & Media House Ky";"Kaisu Isto";2012;2012-05-30
"788";"Miekkailija - Fencer";40000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Making Movies - Nordberg & Aho Oy";"Kaisu Isto";2012;2012-05-30
"789";"Sinun jälkeesi";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Vertigo Production Oy";"Kaisu Isto";2012;2012-04-25
"790";"Werther";50000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Vegetarian Films osuuskunta";"Kaisu Isto";2012;2012-04-25
"791";"Other Girls";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Fisher King Production Oy";"Kaisu Isto";2012;2012-04-25
"792";"Uuden aamun koirat";35000;"Kehittämistuki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Jukka Asikainen";2012;2012-04-25
"793";"Teinitarha";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Långfilm Productions Finland Oy";"Jukka Asikainen";2012;2012-04-25
"794";"Yöradio";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"TACK Films Oy";"Jukka Asikainen";2012;2012-04-25
"795";"Rob the Builder";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Lasihelmi Filmi Oy";"Jukka Asikainen";2012;2012-04-25
"796";"Kuningatar Kristiina (kv-yhteistuotanto)";18000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Marianna Films Oy";"Kaisu Isto";2012;2012-03-21
"797";"Jesse ja Aleksi";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Silva Mysterium Oy";"Kaisu Isto";2012;2012-03-21
"798";"Helvetin Könkkölä";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Kaisu Isto";2012;2012-03-21
"799";"Fundamentalisti";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Kaisu Isto";2012;2012-03-21
"800";"M/S ETELÄN TÄHTI";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Apajalahti Oy";"Kaisu Isto";2012;2012-03-21
"801";"Ei koskaan yksin";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Jukka Asikainen";2012;2012-03-21
"802";"Härre Gud";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oy Bufo Ab";"Jukka Asikainen";2012;2012-03-21
"803";"Aikuisten poika";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Edith Film Oy";"Jukka Asikainen";2012;2012-03-21
"804";"M/S Romantic";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Filmiteollisuus Fine Oy";"Jukka Asikainen";2012;2012-03-21
"805";"Kekkonen - hän tulee";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Jukka Asikainen";2012;2012-03-21
"806";"AIKUISTEN POIKA";19813;"Kehittämistuki";"Pitkä näytelmäelokuva";"Edith Film Oy";"Jukka Asikainen";2012;2012-02-27
"807";"Vanhempainilta";19710;"Kehittämistuki";"Pitkä näytelmäelokuva";"Production House OY Finland";"Kaisu Isto";2012;2012-02-17
"808";"Nyt kun olen mies";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Elokuvatuotantoyhtiö Made Oy";"Jukka Asikainen";2012;2012-02-08
"809";"Kuukausi ihmisenä";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"FremantleMedia Finland Oy";"Jukka Asikainen";2012;2012-02-08
"810";"Aava";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Jukka Asikainen";2012;2012-02-08
"811";"Vetoapua ja läheltä piti-tilanteita";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Inland Film Company Oy";"Jukka Asikainen";2012;2012-02-08
"812";"Sonaatti numero 21";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinotar Oy (vanha)";"Jukka Asikainen";2012;2012-02-08
"813";"Egyptin prinsessa";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Making Movies - Nordberg & Aho Oy";"Jukka Asikainen";2012;2012-02-08
"814";"Tumman veden päällä";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Jukka Asikainen";2012;2012-02-08
"815";"Isänmaallinen mies";50000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Art Films production AFP Oy";"Kaisu Isto";2012;2012-02-08
"816";"End of an Era";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Elokuvatuotantoyhtiö Made Oy";"Kaisu Isto";2012;2012-02-08
"817";"Mieletön Elokuu";37000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinosto Oy";"Kaisu Isto";2012;2012-02-08
"818";"Rakkauden rasvaprosentti";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Kaisu Isto";2011;2011-12-07
"819";"Elävien kirjoihin";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Blind Spot Pictures Oy";"Kaisu Isto";2011;2011-12-07
"820";"Pakenevat unet";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Kaisu Isto";2011;2011-12-07
"821";"Rukous";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Mangaani Motion Pictures Oy";"Kaisu Isto";2011;2011-12-07
"822";"Viimeistä päivää";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Pohjola-filmi Oy";"Jukka Asikainen";2011;2011-12-07
"823";"Liput kaksille";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"New Dawn Oy";"Jukka Asikainen";2011;2011-12-07
"824";"The Grim";17600;"Kehittämistuki";"Pitkä näytelmäelokuva";"Muste ja Valo Oy";"Jukka Asikainen";2011;2011-12-07
"825";"Angela";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Yellow Film & TV Oy";"Jukka Asikainen";2011;2011-12-07
"826";"Kaukopartio";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Bronson Club Oy";"Jukka Asikainen";2011;2011-12-07
"827";"Don't Come After Me";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Mangaani Motion Pictures Oy";"Jukka Asikainen";2011;2011-12-07
"828";"TOVARITSH ALIK";16000;"Kehittämistuki";"Pitkä näytelmäelokuva";"KinoFinlandia Oy";"Petri Kemppinen";2011;2011-11-25
"829";"LEVOTTOMAT JALAT (Pekka ja Pätkä Levottomina)";8000;"Kehittämistuki";"Pitkä näytelmäelokuva";"KinoFinlandia Oy";"Olli Soinio";2011;2011-11-25
"830";"Anna mulle lovea!";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Fisher King Production Oy";"Jukka Asikainen";2011;2011-10-26
"831";"Betoniyö (ent. Huuto)";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oy Bufo Ab";"Jukka Asikainen";2011;2011-10-26
"832";"21 tapaa pilata avioliito";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Dionysos Films Oy";"Jukka Asikainen";2011;2011-10-26
"833";"The Fountain of a Whale";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Cineparadiso Oy";"Kaisu Isto";2011;2011-10-26
"834";"Huorabussi";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinoproduction Oy";"Kaisu Isto";2011;2011-10-26
"835";"Aarnihauta";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Kaisu Isto";2011;2011-10-26
"836";"KAKSI KOTIA";15304;"Kehittämistuki";"Pitkä näytelmäelokuva";"Edith Film Oy";"Kaisu Isto";2011;2011-09-22
"837";"Pizza Desperata";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Edith Film Oy";"Jukka Asikainen";2011;2011-09-13
"838";"Ajomies";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Elokuvayhtiö Oy Aamu Ab";"Jukka Asikainen";2011;2011-09-13
"839";"Syysprinssi";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinotar Oy";"Jukka Asikainen";2011;2011-09-13
"840";"Isänmaallinen mies";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Art Films production AFP Oy";"Kaisu Isto";2011;2011-09-13
"841";"Sarasvatin hiekkaa";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Kaisu Isto";2011;2011-09-13
"842";"Mieletön elokuu/August Fools";18000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinosto Oy";"Kaisu Isto";2011;2011-09-13
"843";"Murtuma";9883;"Kehittämistuki";"Pitkä näytelmäelokuva";"Public Films Oy";"Jukka Asikainen";2011;2011-06-07
"844";"TUKIKOHTA";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Cine Works Oy";"Jukka Asikainen";2011;2011-06-01
"845";"21 tapaa pilata avioliitto";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Dionysos Films Oy";"Jukka Asikainen";2011;2011-06-01
"846";"Rob the Builder (aka Grynderin Barcelona)";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Hakalax Productions Oy";"Jukka Asikainen";2011;2011-06-01
"847";"Vadelmavenepakolainen";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Jukka Asikainen";2011;2011-06-01
"848";"Viimeinen noitarumpu";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Jukka Asikainen";2011;2011-06-01
"849";"Rauhan Rajalla";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"napafilms oy";"Jukka Asikainen";2011;2011-06-01
"850";"Untitled (työnimi)";40000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Cinet Oy";"Kaisu Isto";2011;2011-06-01
"851";"32 Scenes (kv-yhteistuotanto)";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinotar Oy (vanha)";"Kaisu Isto";2011;2011-06-01
"852";"Viimeinen";38000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oy Bufo Ab";"Kaisu Isto";2011;2011-06-01
"853";"Katalogikuningatar";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Jukka Asikainen";2011;2011-04-27
"854";"Pelileffa";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Yellow Film & TV Oy";"Jukka Asikainen";2011;2011-04-27
"855";"Muistojeni Kahvila";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Koskela Art & Media House Ky";"Jukka Asikainen";2011;2011-04-27
"856";"Siintävät Vuoret";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Suomen Filmiteollisuus SF Oy";"Jukka Asikainen";2011;2011-04-27
"857";"Little Angels";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Greenlit productions Ky";"Kaisu Isto";2011;2011-04-27
"858";"Luminainen (kv-yhteistuotanto)";33000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Inland Film Company Oy";"Kaisu Isto";2011;2011-04-27
"859";"Aska";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Långfilm Productions Finland Oy";"Kaisu Isto";2011;2011-04-27
"860";"Tähtitaivas talon yllä";50000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Pystymetsä Oy";"Kaisu Isto";2011;2011-04-27
"861";"Naura tai kuole (Laugh or die)";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Vertigo Production Oy";"Kaisu Isto";2011;2011-04-27
"862";"Minä sinä hän";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Yellow Film & TV Oy";"Kaisu Isto";2011;2011-04-27
"863";"Ansa (työnimi)";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Elokuvayhtiö Oy Aamu Ab";"Jukka Asikainen";2011;2011-03-18
"864";"OMISTAJAT";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Jukka Asikainen";2011;2011-03-18
"865";"Teinitarha";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Långfilm Productions Finland Oy";"Jukka Asikainen";2011;2011-03-18
"866";"Rajalla";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Silva Mysterium Oy";"Jukka Asikainen";2011;2011-03-18
"867";"PUHDISTUS";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Jukka Asikainen";2011;2011-03-18
"868";"Kipupiste";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Vertigo Production Oy";"Kaisu Isto";2011;2011-03-18
"869";"THE GOLD MAN";18061;"Kehittämistuki";"Pitkä näytelmäelokuva";"AL-Filmi Oy / Mainstream Pictures";"Kaisu Isto";2011;2011-03-15
"870";"KIRJEITÄ SUOMESTA";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinoproduction Oy";"Jukka Asikainen";2011;2011-02-08
"871";"VALTATIE";17000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Apajalahti Oy";"Kaisu Isto";2011;2011-02-08
"872";"Kapteeni";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Fisher King Production Oy";"Jukka Asikainen";2011;2011-02-08
"873";"KYKLOOPPI";50000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinotar Oy (vanha)";"Jukka Asikainen";2011;2011-02-08
"874";"EI KOSKAAN YKSIN - NIE ALLEIN!";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Jukka Asikainen";2011;2011-02-08
"875";"LILLA BERLIN";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Blind Spot Pictures Oy";"Kaisu Isto";2011;2011-02-08
"876";"IHMISTEN KIRJOISSA";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Fisher King Production Oy";"Kaisu Isto";2011;2011-02-08
"877";"RICH AND FAMOUS IN THE WEST";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Kaisu Isto";2011;2011-02-08
"878";"TOIPILAS";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oy Bufo Ab";"Kaisu Isto";2011;2011-02-08
"879";"Naisia tiellä (ent. karavaanari)";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Silva Mysterium Oy";"Kaisu Isto";2011;2011-02-08
"880";"IMAGINARIUM";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Kaisu Isto";2011;2011-02-08
"881";"3 SIMOA";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"It´s Alive Productions Oy";"Jukka Asikainen";2010;2010-12-08
"882";"KORSO";28000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oy Bufo Ab";"Jukka Asikainen";2010;2010-12-08
"883";"20 HETKEÄ ENNEN KUOLEMAA (työnimi)";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oy Bufo Ab";"Jukka Asikainen";2010;2010-12-08
"884";"HILJAINEN TIETO";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Periferia Productions Oy";"Jukka Asikainen";2010;2010-10-27
"885";"MERENNEITO (ent.UUDEN AAMUN KOIRAT)";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Jukka Asikainen";2010;2010-10-27
"886";"HUMAN";40000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Blind Spot Pictures Oy";"Jukka Asikainen";2010;2010-10-27
"887";"THE RAIN HOUSE";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Koskela Art & Media House Ky";"Kaisu Isto";2010;2010-10-27
"888";"MURTUMA";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Public Films Oy";"Jukka Asikainen";2010;2010-10-11
"889";"VUOSAARI";45000;"Kehittämistuki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Kaisu Isto";2010;2010-10-08
"890";"ANGELA";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Juonifilmi Oy";"Jukka Asikainen";2010;2010-09-30
"891";"IHAN KOHTA 18";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Huh huh -Filmi Oy";"Jukka Asikainen";2010;2010-09-21
"892";"VIIMEINEN NOITARUMPU";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Jukka Asikainen";2010;2010-09-20
"893";"VANHA KÖÖRI";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oktober Oy";"Jukka Asikainen";2010;2010-09-15
"894";"PERHOSEN HUUTO";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Making Movies - Nordberg & Aho Oy";"Kaisu Isto";2010;2010-07-02
"895";"RAKKAUDEN RASVAPROSENTTI";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Kaisu Isto";2010;2010-07-02
"896";"FATA MORGANA (kv-yhteistuotanto)";50000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Snapper Films Oy";"Kaisu Isto";2010;2010-07-02
"897";"RAJALLA";5000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Silva Mysterium Oy";"Jukka Asikainen";2010;2010-06-23
"898";"TÄHTITAIVAS TALON YLLÄ";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Pystymetsä Oy";"Kaisu Isto";2010;2010-06-21
"899";"KOTIRAUHA";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Jukka Asikainen";2010;2010-06-15
"900";"VARES JA KAIDAN TIEN KULKIJAT";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Jukka Asikainen";2010;2010-06-09
"901";"HUMAN - A WEREWOLF INVERSION";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Blind Spot Pictures Oy";"Jukka Asikainen";2010;2010-06-03
"902";"GHOST TOWN (elvytys)";40000;"Kehittämistuki";"Pitkä näytelmäelokuva";"UNDO Oy";"Miia Haavisto";2010;2010-05-28
"903";"TAPPAVA TALVI";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Indium Film Company Oy";"Kaisu Isto";2010;2010-05-24
"904";"MATKA EDENIIN";6000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oy Bad Taste ltd";"Kaisu Isto";2010;2010-05-11
"905";"VEREN MAKU SUUSSA";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Långfilm Productions Finland Oy";"Jukka Asikainen";2010;2010-05-10
"906";"MUSTAA JÄÄTÄ";16000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Dada-Filmi Oy";"Olli Soinio";2010;2010-05-10
"907";"MUSTAA JÄÄTÄ";36000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Dada-Filmi Oy";"Olli Soinio";2010;2010-05-10
"908";"IHAN KOHTA 18";50000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Huh huh -Filmi Oy";"Jukka Asikainen";2010;2010-05-05
"909";"KULLANKAIVAJAT";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Elokuvayhtiö Oy Aamu Ab";"Jukka Asikainen";2010;2010-05-04
"910";"REKORDBEOBACHTER (kv-yhteistuotanto)";35000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Inland Film Company Oy";"Kaisu Isto";2010;2010-05-03
"911";"AIKUISTEN POIKA";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Edith Film Oy";"Jukka Asikainen";2010;2010-04-29
"912";"KIROTTU";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Jukka Asikainen";2010;2010-04-27
"913";"PERÄSMIES";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Kaisu Isto";2010;2010-04-27
"914";"VANHA KÖÖRI";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oktober Oy";"Jukka Asikainen";2010;2010-04-09
"915";"VALKOINEN PEURA";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Petfilms Oy";"Jukka Asikainen";2010;2010-04-06
"916";"Love and Other Troubles (ent. Rivitanssi)";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Bronson Club Oy";"Kaisu Isto";2010;2010-04-06
"917";"VARASTO";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinosto Oy";"Jukka Asikainen";2010;2010-03-31
"918";"MISS FARKKU-SUOMI";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Periferia Productions Oy";"Kaisu Isto";2010;2010-03-29
"919";"ZOMBIE RISTEILY";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Blind Spot Pictures Oy";"Jukka Asikainen";2010;2010-03-24
"920";"THE RAIN HOUSE";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Koskela Art & Media House Ky";"Kaisu Isto";2010;2010-03-24
"921";"MURTUMA";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Public Films Oy";"Jukka Asikainen";2010;2010-03-23
"922";"TODELLINEN PRINSESSA (työnimi)";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oblomovies Oy";"Kaisu Isto";2010;2010-03-23
"923";"PAKSU POIKA";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinotar Oy (vanha)";"Jukka Asikainen";2010;2010-03-15
"924";"POSTIHERRA";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Fisher King Production Oy";"Jukka Asikainen";2010;2010-03-04
"925";"LE GRAND SANCY";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Långfilm Productions Finland Oy";"Kaisu Isto";2010;2010-03-03
"926";"SARASVATIN HIEKKAA";50000;"Kehittämistuki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Kaisu Isto";2010;2010-02-22
"927";"EERIKA JA MEHILÄISET";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Making Movies - Nordberg & Aho Oy";"Jukka Asikainen";2010;2010-02-19
"928";"HILJAISUUS";55000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Cine Works Oy";"Kaisu Isto";2010;2010-02-19
"929";"SYVÄLLE SALATTU";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Kaisu Isto";2010;2010-02-17
"930";"HUORABUSSI";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Kinoproduction Oy";"Kaisu Isto";2010;2010-02-11
"931";"KAKKOSET (ent. Romuralli)";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Oy Bufo Ab";"Jukka Asikainen";2010;2010-01-20
"932";"VEREN MAKU SUUSSA";15628;"Kehittämistuki";"Pitkä näytelmäelokuva";"Lasihelmi Filmi Oy";"Olli Soinio";2010;2010-01-07
"933";"THE HUMAN ANIMAL";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Blind Spot Pictures Oy";"Jukka Asikainen";2010;2010-01-04
"934";"ROTTAKUNINGAS";25000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Making Movies - Nordberg & Aho Oy";"Jukka Asikainen";2009;2009-12-11
"935";"DIGIBOKSI";50000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Jukka Asikainen";2009;2009-11-24
"936";"EI KOSKAAN YKSIN - NIE ALLEIN";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Jukka Asikainen";2009;2009-11-13
"937";"RAUHAN RAJALLA";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"napafilms oy";"Jukka Asikainen";2009;2009-10-07
"938";"FIFTY-FIFTY (ent. Mistä tunnet sä ystävän)";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Cinet Oy";"Jukka Asikainen";2009;2009-09-04
"939";"VADELMAVENEPAKOLAINEN";15000;"Kehittämistuki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Jukka Asikainen";2009;2009-06-25
"940";"JÄÄKARHU";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Silva Mysterium Oy";"Jukka Asikainen";2009;2009-06-25
"941";"POSTIHERRA";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Fisher King Production Oy";"Jukka Asikainen";2009;2009-06-23
"942";"PAKENEVAT UNET";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Kaisu Isto";2009;2009-06-18
"943";"AUTOBIOGRAFIA (elvytys)";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Edith Film Oy";"Jukka Asikainen";2009;2009-06-16
"944";"ROSKISPRINSSI";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Periferia Productions Oy";"Kaisu Isto";2009;2009-06-16
"945";"TAULUKAUPPIAAT (elvytys)";18000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Elokuvayhtiö Oy Aamu Ab";"Jukka Asikainen";2009;2009-06-04
"946";"KAIRA";5000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Bear Me Productions Oy";"Kaisu Isto";2009;2009-05-15
"947";"EERIKA JA MEHILÄISET";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Making Movies - Nordberg & Aho Oy";"Jukka Asikainen";2009;2009-05-11
"948";"ROTTAKUNINGAS";30000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Making Movies - Nordberg & Aho Oy";"Jukka Asikainen";2009;2009-05-11
"949";"MICHELIN (työnimi)";10000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Långfilm Productions Finland Oy";"Kaisu Isto";2009;2009-05-06
"950";"TATJANA";28000;"Kehittämistuki";"Pitkä näytelmäelokuva";"SF Film Finland Oy";"Kaisu Isto";2009;2009-05-06
"951";"LILLA BERLIN";20000;"Kehittämistuki";"Pitkä näytelmäelokuva";"Blind Spot Pictures Oy";"Kaisu Isto";2009;2009-04-28
