"";"elokuva";"tukisumma";"tukityyppi";"lajityyppi";"hakija";"esittelija";"tukivuosi";"tukipvm"
"2088";"Hentokeijukorento";10000;"Kehittämistuki";"Dokumenttielokuva";"Tuffi Films Oy";"Elina Kivihalme";2013;2013-05-29
"2089";"Helsinki-Sydney project";6000;"Kehittämistuki";"Dokumenttielokuva";"Wacky Tie Films Oy";"Elina Kivihalme";2013;2013-04-24
"2090";"Helsinki Outsiders";20000;"Kehittämistuki";"Dokumenttielokuva";"Långfilm Productions Finland Oy";"Elina Kivihalme";2013;2013-03-20
"2091";"VALTION VIHOLLISET";6758;"Kehittämistuki";"Dokumenttielokuva";"Fisher King Production Oy";"Miia Haavisto";2013;2013-03-18
"2092";"Uusi Suomalainen (ent. Ilya ja Timo)";13600;"Kehittämistuki";"Dokumenttielokuva";"Inland Film Company Oy";"Elina Kivihalme";2012;2012-12-05
"2093";"Pizzeria Finlandia";20000;"Kehittämistuki";"Dokumenttielokuva";"Helsinki-filmi Oy";"Elina Kivihalme";2012;2012-12-05
"2094";"Kahden sielun siskoni (saamelaisraha)";18500;"Kehittämistuki";"Dokumenttielokuva";"Vaski Filmi Oy";"Elina Kivihalme";2012;2012-12-05
"2095";"Kihniö";20000;"Kehittämistuki";"Dokumenttielokuva";"Filmimaa Oy";"Elina Kivihalme";2012;2012-12-05
"2096";"YANTI UNISSA";4244;"Kehittämistuki";"Dokumenttielokuva";"Anarkino Oy";"Miia Haavisto";2012;2012-11-26
"2097";"Tasapaino (saamelaisraha)";15000;"Kehittämistuki";"Dokumenttielokuva";"Forest Camp Entertainment Oy";"Elina Kivihalme";2012;2012-05-30
"2098";"SIIVEKKÄÄT (saamelaisraha)";21500;"Kehittämistuki";"Dokumenttielokuva";"INARIN ELOKUVATEOLLISUUS OY";"Elina Kivihalme";2012;2012-05-30
"2099";"Yirtik!";30000;"Kehittämistuki";"Dokumenttielokuva";"Klaffi Tuotannot Oy";"Elina Kivihalme";2012;2012-05-30
"2100";"Naisten Afganistan";20000;"Kehittämistuki";"Dokumenttielokuva";"Osuuskunta Icebreaker Productions";"Elina Kivihalme";2012;2012-03-21
"2101";"Toinen Maailma";18000;"Kehittämistuki";"Dokumenttielokuva";"Avanton Productions Oy";"Elina Kivihalme";2012;2012-03-21
"2102";"Kantonen ja myytti kerros kerrokselta";7000;"Kehittämistuki";"Dokumenttielokuva";"Inland Film Company Oy";"Elina Kivihalme";2011;2011-12-07
"2103";"Lieksan valinta";16000;"Kehittämistuki";"Dokumenttielokuva";"Kinocompany Finland Oy";"Elina Kivihalme";2011;2011-12-07
"2104";"Nuudelit";22000;"Kehittämistuki";"Dokumenttielokuva";"RT Documentaries Oy";"Elina Kivihalme";2011;2011-12-07
"2105";"Voices of the poor";16000;"Kehittämistuki";"Dokumenttielokuva";"Videokuu Oy";"Elina Kivihalme";2011;2011-12-07
"2106";"Sisters online";15500;"Kehittämistuki";"Dokumenttielokuva";"For Real Productions FRP Oy";"Elina Kivihalme";2011;2011-10-26
"2107";"Matkamuistoja";6000;"Kehittämistuki";"Dokumenttielokuva";"Ilokuva, Naukkarinen&Co";"Elina Kivihalme";2011;2011-10-26
"2108";"KOTIA KOHTI";16000;"Kehittämistuki";"Dokumenttielokuva";"Kinoproduction Oy";"Elina Kivihalme";2011;2011-10-26
"2109";"Koulu - sarja";20000;"Kehittämistuki";"Dokumenttielokuva";"Filmimaa Oy";"Elina Kivihalme";2011;2011-04-27
"2110";"Hiljaisen talven lapsi";7000;"Kehittämistuki";"Dokumenttielokuva";"Guerilla Films Oy";"Elina Kivihalme";2011;2011-04-27
"2111";"Itsenäisyyspäivä";7400;"Kehittämistuki";"Dokumenttielokuva";"Osuuskunta Icebreaker Productions";"Elina Kivihalme";2011;2011-04-27
"2112";"ITSENÄISYYSPÄIVÄ";9354;"Kehittämistuki";"Dokumenttielokuva";"Osuuskunta Icebreaker Productions";"Miia Haavisto";2011;2011-04-26
"2113";"FINNSURF";12500;"Kehittämistuki";"Dokumenttielokuva";"Ahlgren Harjula Konttinen Oy";"Elina Kivihalme";2011;2011-03-18
"2114";"VENÄJÄN VAPAIN MIES";16000;"Kehittämistuki";"Dokumenttielokuva";"Kinocompany Finland Oy";"Elina Kivihalme";2011;2011-02-08
"2115";"JOURNALS OF LIFE";9500;"Kehittämistuki";"Dokumenttielokuva";"Oktober Oy";"Elina Kivihalme";2011;2011-02-08
"2116";"PUNAINEN TALO";12000;"Kehittämistuki";"Dokumenttielokuva";"Filmifakta Oy";"Miia Haavisto";2010;2010-12-20
"2117";"AMERICAN VAGABOND";20000;"Kehittämistuki";"Dokumenttielokuva";"For Real Productions FRP Oy";"Miia Haavisto";2010;2010-12-08
"2118";"Ahnenerbe (ent.kArjala)";12500;"Kehittämistuki";"Dokumenttielokuva";"Illume Oy";"Miia Haavisto";2010;2010-12-08
"2119";"OASIS - VIIMEINEN TOIVO";10000;"Kehittämistuki";"Dokumenttielokuva";"Oktober Oy";"Miia Haavisto";2010;2010-12-08
"2120";"THE NEW ARTIST";13000;"Kehittämistuki";"Dokumenttielokuva";"Oy Bufo Ab";"Miia Haavisto";2010;2010-12-08
"2121";"KUMMISETÄ";6000;"Kehittämistuki";"Dokumenttielokuva";"Pohjola-filmi Oy";"Miia Haavisto";2010;2010-12-08
"2122";"KISSANLOUKKU";17000;"Kehittämistuki";"Dokumenttielokuva";"Tuffi Films Oy";"Miia Haavisto";2010;2010-12-08
"2123";"MATKUSTAJA";8000;"Kehittämistuki";"Dokumenttielokuva";"Of Course My Films";"Joona Louhivuori";2010;2010-10-27
"2124";"VASKISEPÄT";5600;"Kehittämistuki";"Dokumenttielokuva";"FRAME PRODUCTIONS Oy";"Miia Haavisto";2010;2010-10-27
"2125";"TOLONEN - THIS LIFE";8000;"Kehittämistuki";"Dokumenttielokuva";"Gateway Films Oy";"Miia Haavisto";2010;2010-10-27
"2126";"HAVAHTUMINEN";12300;"Kehittämistuki";"Dokumenttielokuva";"Of Course My Films";"Miia Haavisto";2010;2010-10-27
"2127";"REVIIRI";22000;"Kehittämistuki";"Dokumenttielokuva";"Pohjankonna Oy";"Miia Haavisto";2010;2010-10-08
"2128";"WOMAN ON HOLD";25000;"Kehittämistuki";"Dokumenttielokuva";"Helmi Films Oy";"Miia Haavisto";2010;2010-09-15
"2129";"FRAMES TELL THE STORY (työnimi)";15000;"Kehittämistuki";"Dokumenttielokuva";"Filmiryhmä Oy";"Miia Haavisto";2010;2010-06-29
"2130";"PERTTI KURIKAN NIMIPÄIVÄT";22000;"Kehittämistuki";"Dokumenttielokuva";"Mouka Filmi Oy";"Miia Haavisto";2010;2010-06-28
"2131";"SLOBODA - VAPAUDEN TAIVAL (työnimi)";8000;"Kehittämistuki";"Dokumenttielokuva";"Stormborg Productions Oy";"Miia Haavisto";2010;2010-06-09
"2132";"IRAKIN PRESIDENTTI";22000;"Kehittämistuki";"Dokumenttielokuva";"Aito Media Oy";"Miia Haavisto";2010;2010-06-01
"2133";"AUTS";6000;"Kehittämistuki";"Dokumenttielokuva";"Angry-La Visual Design Ky";"Miia Haavisto";2010;2010-05-17
"2134";"Sammon ryöstö (ent. Metsänhoidollisesti ainoa vaihtoehto)";10000;"Kehittämistuki";"Dokumenttielokuva";"Kulttuuriosuuskunta Elonkirjo";"Miia Haavisto";2010;2010-05-10
"2135";"PAINAJAINEN";20000;"Kehittämistuki";"Dokumenttielokuva";"Klaffi Tuotannot Oy";"Miia Haavisto";2010;2010-03-26
"2136";"PUNAISEN METSÄN HOTELLI";14000;"Kehittämistuki";"Dokumenttielokuva";"Luxian productions Oy";"Miia Haavisto";2010;2010-03-09
"2137";"KUNINGAS GESARIN SANANSAATTAJA";12000;"Kehittämistuki";"Dokumenttielokuva";"Illume Oy";"Miia Haavisto";2010;2010-03-08
"2138";"RAKKAUS RIITTÄÄ";19000;"Kehittämistuki";"Dokumenttielokuva";"Avanton Productions Oy";"Miia Haavisto";2010;2010-02-26
"2139";"JUMALAINEN VALO - LEONARDO DA VILHU";10000;"Kehittämistuki";"Dokumenttielokuva";"Bitar Films Oy";"Miia Haavisto";2010;2010-02-25
"2140";"LAHTI 2001";15000;"Kehittämistuki";"Dokumenttielokuva";"Art Films production AFP Oy";"Miia Haavisto";2010;2010-02-23
"2141";"BODY OF GOD";8000;"Kehittämistuki";"Dokumenttielokuva";"Hakalax Productions Oy";"Miia Haavisto";2010;2010-02-18
"2142";"KODITON KOTI (elvytys)";12000;"Kehittämistuki";"Dokumenttielokuva";"Kristalli-Filmi Oy";"Miia Haavisto";2010;2010-01-19
"2143";"DANCE OF OUTLAWS";12500;"Kehittämistuki";"Dokumenttielokuva";"Road Movies Oy";"Miia Haavisto";2010;2010-01-12
"2144";"MAAILMANLOPUN ANATOMIA";6292;"Kehittämistuki";"Dokumenttielokuva";"Juonifilmi Oy";"Elina Kivihalme";2010;2010-01-07
"2145";"LETHAL DEPTHS";7000;"Kehittämistuki";"Dokumenttielokuva";"Hakalax Productions Oy";"Jukka Asikainen";2009;2009-12-18
"2146";"KIRKKOKATU (elvytys)";12000;"Kehittämistuki";"Dokumenttielokuva";"Grape Productions OY";"Miia Haavisto";2009;2009-12-16
"2147";"JÄÄMARSSI (elvytys)";13000;"Kehittämistuki";"Dokumenttielokuva";"Illume Oy";"Miia Haavisto";2009;2009-11-18
"2148";"TOLONEN - THIS LIFE";8000;"Kehittämistuki";"Dokumenttielokuva";"Gateway Films Oy";"Miia Haavisto";2009;2009-10-26
"2149";"FINNBLOOD";22000;"Kehittämistuki";"Dokumenttielokuva";"Oy Bufo Ab";"Miia Haavisto";2009;2009-09-24
"2150";"KONSULTTI";7000;"Kehittämistuki";"Dokumenttielokuva";"Mediatuotanto Amigos Oy";"Miia Haavisto";2009;2009-09-14
"2151";"LOVE U LOVE U LOVE U";10000;"Kehittämistuki";"Dokumenttielokuva";"Mediatehdas Dakar Oy";"Miia Haavisto";2009;2009-08-24
"2152";"TARINOIDEN SUOMI (työnimi Suomi 2009) (elvytys)";20000;"Kehittämistuki";"Dokumenttielokuva";"Videokuu Oy";"Miia Haavisto";2009;2009-08-13
"2153";"UM-SHMUM";10000;"Kehittämistuki";"Dokumenttielokuva";"Oy GIG Ab";"Miia Haavisto";2009;2009-08-12
"2154";"MIHAELA";16500;"Kehittämistuki";"Dokumenttielokuva";"Avanton Productions Oy";"Miia Haavisto";2009;2009-07-01
"2155";"ALPPIKATU 25";14000;"Kehittämistuki";"Dokumenttielokuva";"For Real Productions FRP Oy";"Miia Haavisto";2009;2009-06-24
"2156";"MYSTEERIMIES";22000;"Kehittämistuki";"Dokumenttielokuva";"Mouka Filmi Oy";"Miia Haavisto";2009;2009-06-24
"2157";"KOTIA KOHTI";18000;"Kehittämistuki";"Dokumenttielokuva";"Kinoproduction Oy";"Miia Haavisto";2009;2009-06-22
"2158";"MAAILMANLOPUN MARKKINAT";5000;"Kehittämistuki";"Dokumenttielokuva";"Linssilude Oy";"Miia Haavisto";2009;2009-06-22
"2159";"YLI LOHIKÄÄRMEEN PORTIN";12000;"Kehittämistuki";"Dokumenttielokuva";"NBB Navy Blue Bird Oy";"Miia Haavisto";2009;2009-06-18
"2160";"VIRU-HOTELLI - ORATORIO TALOLLE";15000;"Kehittämistuki";"Dokumenttielokuva";"Kinosto Oy";"Miia Haavisto";2009;2009-05-12
"2161";"MINÄ, PRESIDENTTI";22000;"Kehittämistuki";"Dokumenttielokuva";"Making Movies - Nordberg & Aho Oy";"Miia Haavisto";2009;2009-05-11
"2162";"INT./EXT.";4300;"Kehittämistuki";"Dokumenttielokuva";"napafilms oy";"Miia Haavisto";2009;2009-04-03
"2163";"FINSK BLOD, SVENSKT HJÄRTA";20000;"Kehittämistuki";"Dokumenttielokuva";"Klaffi Tuotannot Oy";"Miia Haavisto";2009;2009-03-26
"2164";"FROZEN LAND (Frozen dreams)";20000;"Kehittämistuki";"Dokumenttielokuva";"Saamifilmi Oy";"Miia Haavisto";2009;2009-03-12
"2165";"ARANDA";8000;"Kehittämistuki";"Dokumenttielokuva";"Filmimaa Oy";"Miia Haavisto";2009;2009-02-27
"2166";"HYLKY";7000;"Kehittämistuki";"Dokumenttielokuva";"For Real Productions FRP Oy";"Miia Haavisto";2009;2009-02-17
"2167";"MIEHEN KUVA";10000;"Kehittämistuki";"Dokumenttielokuva";"Guerilla Films Oy";"Miia Haavisto";2009;2009-01-26
"2168";"PAINAJAINEN";20000;"Kehittämistuki";"Dokumenttielokuva";"Klaffi Tuotannot Oy";"Miia Haavisto";2009;2009-01-08
"2169";"RAKKAUS RIITTÄÄ";8000;"Kehittämistuki";"Dokumenttielokuva";"Avanton Productions Oy";"Miia Haavisto";2009;2009-01-05
"2170";"VAKOOJA";10000;"Kehittämistuki";"Dokumenttielokuva";"First Floor Productions Oy";"Miia Haavisto";2008;2008-12-22
"2171";"KINNVIKA";8000;"Kehittämistuki";"Dokumenttielokuva";"KINOVID PRODUCTIONS Ky";"Miia Haavisto";2008;2008-12-22
"2172";"RAITIS, AUTOILEVA";10000;"Kehittämistuki";"Dokumenttielokuva";"NBB Navy Blue Bird Oy";"Miia Haavisto";2008;2008-12-17
"2173";"SALLAN STRATEGIA";9000;"Kehittämistuki";"Dokumenttielokuva";"Filmimaa Oy";"Elina Kivihalme";2008;2008-11-11
"2174";"GAUCHO";24000;"Kehittämistuki";"Dokumenttielokuva";"Silva Mysterium Oy";"Elina Kivihalme";2008;2008-10-16
"2175";"HISTORIEN OM EN DEDIKATION";14600;"Kehittämistuki";"Dokumenttielokuva";"Sus Productions";"Elina Kivihalme";2008;2008-09-03
"2176";"KULTAMETSÄT, FORESTS OF GOLD";7000;"Kehittämistuki";"Dokumenttielokuva";"Elokuvaosuuskunta Camera Cagliostro";"Elina Kivihalme";2008;2008-07-02
"2177";"RAVIOLI (työnimi)";5500;"Kehittämistuki";"Dokumenttielokuva";"Oktober Oy";"Elina Kivihalme";2008;2008-06-19
"2178";"TAGIKAKS";12000;"Kehittämistuki";"Dokumenttielokuva";"Katharsis Films Oy";"Elina Kivihalme";2008;2008-06-18
"2179";"AUF WIEDERSEHEN FINNLAND";10000;"Kehittämistuki";"Dokumenttielokuva";"Kinotar Oy (vanha)";"Elina Kivihalme";2008;2008-05-23
"2180";"HILJAA TOIVOTUT";12000;"Kehittämistuki";"Dokumenttielokuva";"Vaski Filmi Oy";"Elina Kivihalme";2008;2008-05-12
"2181";"PUNAKONE";14000;"Kehittämistuki";"Dokumenttielokuva";"Zone2 Pictures Oy";"Elina Kivihalme";2008;2008-05-12
"2182";"ONNELLISTEN KAUPUNKI";8000;"Kehittämistuki";"Dokumenttielokuva";"Alppiharjun Elokuva Oy";"Elina Kivihalme";2008;2008-05-09
"2183";"TAPAUS F16";9500;"Kehittämistuki";"Dokumenttielokuva";"First Floor Productions Oy";"Elina Kivihalme";2008;2008-05-08
"2184";"RIEMURUHTINAAT";20000;"Kehittämistuki";"Dokumenttielokuva";"Kino Kombinat Oy";"Elina Kivihalme";2008;2008-05-08
"2185";"COMRADE, WHERE ARE YOU TODAY?";20000;"Kehittämistuki";"Dokumenttielokuva";"Making Movies - Nordberg & Aho Oy";"Elina Kivihalme";2008;2008-04-11
"2186";"WIRELESS GAME";16000;"Kehittämistuki";"Dokumenttielokuva";"Avanton Productions Oy";"Elina Kivihalme";2008;2008-03-17
"2187";"BARON WREDE AF ELIMÄ";10000;"Kehittämistuki";"Dokumenttielokuva";"Långfilm Productions Finland Oy";"Elina Kivihalme";2008;2008-02-19
"2188";"LASKETTU AIKA";12000;"Kehittämistuki";"Dokumenttielokuva";"Zone2 Pictures Oy";"Elina Kivihalme";2008;2008-02-15
"2189";"PAASTO";10000;"Kehittämistuki";"Dokumenttielokuva";"Kinotar Oy (vanha)";"Miia Haavisto";2008;2008-01-23
"2190";"VARPUSET (Sparrows)";8000;"Kehittämistuki";"Dokumenttielokuva";"Av-torppa Oy";"Elina Kivihalme";2008;2008-01-14
"2191";"ARVOSTETULLA ALUEELLA";10000;"Kehittämistuki";"Dokumenttielokuva";"Ilokuva, Naukkarinen&Co";"Elina Kivihalme";2008;2008-01-09
"2192";"Fatima (nuorisoraha)";20000;"Kehittämistuki";"Lyhyt elokuva";"Making Movies - Nordberg & Aho Oy";"Joona Louhivuori";2011;2011-10-26
"2193";"Tommys supersoffa";20000;"Kehittämistuki";"TV-sarja";"Handle Productions Oy";"Joona Louhivuori";2012;2012-10-24
"2194";"Varning För Tunn Is (Novellfilm 2017)";30000;"Kehittämistuki";"Lyhyt elokuva";"Cineparadiso Oy";"Pekka Uotila";2015;2015-11-19
"2195";"Napoli";10000;"Kehittämistuki";"Lyhyt elokuva";"EX-PROFESSO ARTS MANAGEMENT OY";"Pekka Uotila";2015;2015-11-19
"2196";"The Professional Mourner";15000;"Kehittämistuki";"Lyhyt elokuva";"Sons of Lumière Oy";"Pekka Uotila";2015;2015-11-19
"2197";"Ääni syvyydestä";15000;"Kehittämistuki";"Lyhyt elokuva";"Twisted Films Oy";"Pekka Uotila";2015;2015-11-19
"2198";"Muuttolinnut";10000;"Kehittämistuki";"Lyhyt elokuva";"Filmimaa Oy";"Pekka Uotila";2015;2015-09-17
"2199";"Mirages";15000;"Kehittämistuki";"Lyhyt elokuva";"Kroma Productions Oy";"Pekka Uotila";2015;2015-09-17
"2200";"Daughter of Ice and Snow";5000;"Kehittämistuki";"Lyhyt elokuva";"Lumo Films Oy";"Pekka Uotila";2015;2015-09-17
"2201";"Sound of a mushroom";4000;"Kehittämistuki";"Lyhyt elokuva";"Villilä Studiot Oy";"Pekka Uotila";2015;2015-09-17
"2202";"VALKOINEN HETKI";15000;"Kehittämistuki";"Lyhyt elokuva";"Visiokolmio Oy";"Pekka Uotila";2015;2015-09-17
"2203";"Autobiografi";10000;"Kehittämistuki";"Lyhyt elokuva";"Inland Film Company Oy";"Joona Louhivuori";2015;2015-06-04
"2204";"Valehtelija";10000;"Kehittämistuki";"Lyhyt elokuva";"TACK Films Oy";"Joona Louhivuori";2015;2015-06-04
"2205";"Komitea";19000;"Kehittämistuki";"Lyhyt elokuva";"Tuffi Films Oy";"Joona Louhivuori";2015;2015-06-04
"2206";"Saatanan kanit";10000;"Kehittämistuki";"Lyhyt elokuva";"Elokuvayhtiö Komeetta Oy";"Joona Louhivuori";2015;2015-04-02
"2207";"Hindenburg";10000;"Kehittämistuki";"Lyhyt elokuva";"Production House OY Finland";"Joona Louhivuori";2015;2015-04-02
"2208";"Taru, sormus ja herra";3200;"Kehittämistuki";"Lyhyt elokuva";"Villilä Studiot Oy";"Joona Louhivuori";2015;2015-03-23
"2209";"Moottoriöljy";10000;"Kehittämistuki";"Lyhyt elokuva";"Special Film Company Oy";"Joona Louhivuori";2014;2014-12-04
"2210";"Pimein hetki";5500;"Kehittämistuki";"Lyhyt elokuva";"Welhofilmi Oy";"Joona Louhivuori";2014;2014-12-04
"2211";"Imagination ball";7000;"Kehittämistuki";"Lyhyt elokuva";"napafilms oy";"Joona Louhivuori";2014;2014-12-04
"2212";"Kaatumisia";11000;"Kehittämistuki";"Lyhyt elokuva";"MEDIAPORRAS OY";"Joona Louhivuori";2014;2014-10-22
"2213";"Bumaye";3500;"Kehittämistuki";"Lyhyt elokuva";"Otto tuotanto Oy";"Joona Louhivuori";2014;2014-10-22
"2214";"Mausoleum";7000;"Kehittämistuki";"Lyhyt elokuva";"Elokuvayhtiö Komeetta Oy";"Joona Louhivuori";2014;2014-06-04
"2215";"Kalsarit";5500;"Kehittämistuki";"Lyhyt elokuva";"Monami-Agency Oy";"Joona Louhivuori";2014;2014-06-04
"2216";"PUTSAAJAT";10000;"Kehittämistuki";"Lyhyt elokuva";"Filmimaa Oy";"Joona Louhivuori";2014;2014-04-02
"2217";"Moottorisahajonglööri";10000;"Kehittämistuki";"Lyhyt elokuva";"Special Film Company Oy";"Joona Louhivuori";2014;2014-04-02
"2218";"HILPI (sarja)";8000;"Kehittämistuki";"Lyhyt elokuva";"Mandart Entertainment Oy";"Miia Haavisto";2014;2014-03-18
"2219";"Jussi";7000;"Kehittämistuki";"Lyhyt elokuva";"Tuffi Films Oy";"Joona Louhivuori";2014;2014-02-11
"2220";"Äiti";4000;"Kehittämistuki";"Lyhyt elokuva";"napafilms oy";"Joona Louhivuori";2014;2014-02-04
"2221";"Nelikko (novellielokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"Black Lion Pictures Oy";"Joona Louhivuori";2013;2013-10-23
"2222";"Lauantai (novellielokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"Helsinki-filmi Oy";"Joona Louhivuori";2013;2013-10-23
"2223";"Mira ? Valtsu";8000;"Kehittämistuki";"Lyhyt elokuva";"Silent Paprika Films Oy";"Joona Louhivuori";2013;2013-10-23
"2224";"Puuttuminen (novellielokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"TACK Films Oy";"Joona Louhivuori";2013;2013-10-23
"2225";"Säälistäjät (novellielokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"Elokuvatuotantoyhtiö Made Oy";"Joona Louhivuori";2013;2013-09-18
"2226";"Miss Zahra (novellielokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"MJÖLK MOVIES Oy";"Joona Louhivuori";2013;2013-09-18
"2227";"Ekstropia";10000;"Kehittämistuki";"Lyhyt elokuva";"Of Course My Films";"Joona Louhivuori";2013;2013-09-18
"2228";"Pirssimies";24000;"Kehittämistuki";"Lyhyt elokuva";"Pohjola-filmi Oy";"Joona Louhivuori";2013;2013-09-18
"2229";"Perintö (novellielokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"Silva Mysterium Oy";"Joona Louhivuori";2013;2013-09-18
"2230";"Äiti";9000;"Kehittämistuki";"Lyhyt elokuva";"napafilms oy";"Joona Louhivuori";2013;2013-09-18
"2231";"Juhannusyö";16000;"Kehittämistuki";"Lyhyt elokuva";"65 Wilding Films";"Joona Louhivuori";2013;2013-05-29
"2232";"Naisten haku";6000;"Kehittämistuki";"Lyhyt elokuva";"Wacky Tie Films Oy";"Joona Louhivuori";2013;2013-04-24
"2233";"Rocky";11000;"Kehittämistuki";"Lyhyt elokuva";"Helsinki-filmi Oy";"Joona Louhivuori";2013;2013-03-20
"2234";"The Swan";10000;"Kehittämistuki";"Lyhyt elokuva";"Medeia Oy";"Joona Louhivuori";2013;2013-03-20
"2235";"TIIKERIT";10000;"Kehittämistuki";"Lyhyt elokuva";"Tuffi Films Oy";"Joona Louhivuori";2013;2013-03-20
"2236";"Mutavyöry";3000;"Kehittämistuki";"Lyhyt elokuva";"Wacky Tie Films Oy";"Joona Louhivuori";2013;2013-02-05
"2237";"Nightsatan";20000;"Kehittämistuki";"Lyhyt elokuva";"Twisted Films Oy";"Joona Louhivuori";2012;2012-12-05
"2238";"Devil Inside Me x 3 (nuorisoraha)";17674;"Kehittämistuki";"Lyhyt elokuva";"Elokuvatuotantoyhtiö Made Oy";"Joona Louhivuori";2012;2012-11-12
"2239";"Pimeällä polulla";13000;"Kehittämistuki";"Lyhyt elokuva";"New Dawn Oy";"Joona Louhivuori";2012;2012-09-19
"2240";"Kalsarit";9500;"Kehittämistuki";"Lyhyt elokuva";"Ahlgren Harjula Konttinen Oy";"Joona Louhivuori";2012;2012-09-19
"2241";"Hiljaisuuden äänet (työnimi)";4136;"Kehittämistuki";"Lyhyt elokuva";"Obscure Entertainment Osuuskunta";"Joona Louhivuori";2012;2012-06-11
"2242";"Kuvaaja";15000;"Kehittämistuki";"Lyhyt elokuva";"Dodoni kulttuuriosuuskunta";"Joona Louhivuori";2012;2012-05-30
"2243";"Taukopaikka";8000;"Kehittämistuki";"Lyhyt elokuva";"Jalo Production Oy";"Joona Louhivuori";2012;2012-05-30
"2244";"AFTER EVERYTHING - KAIKEN JÄLKEEN";11000;"Kehittämistuki";"Lyhyt elokuva";"Kristallisilmä Oy";"Joona Louhivuori";2012;2012-05-30
"2245";"Reunion";3000;"Kehittämistuki";"Lyhyt elokuva";"Oy Bufo Ab";"Joona Louhivuori";2012;2012-05-30
"2246";"Cyklisten";12000;"Kehittämistuki";"Lyhyt elokuva";"Periferia Productions Oy";"Joona Louhivuori";2012;2012-05-30
"2247";"Sosiaalinen yhteys (työnimi)";20000;"Kehittämistuki";"Lyhyt elokuva";"Visiokolmio Oy";"Joona Louhivuori";2012;2012-05-30
"2248";"Kill Your Idols";16000;"Kehittämistuki";"Lyhyt elokuva";"Muste ja Valo Oy";"Joona Louhivuori";2012;2012-04-25
"2249";"BARNENS RIKE";6752;"Kehittämistuki";"Lyhyt elokuva";"Kinoproduction Oy";"Miia Haavisto";2012;2012-04-12
"2250";"MÄN SOM TALAR - MIEHET JOTKA PUHUVAT";9865;"Kehittämistuki";"Lyhyt elokuva";"Kinoproduction Oy";"Miia Haavisto";2012;2012-04-12
"2251";"Paratiisin Avaimet";15000;"Kehittämistuki";"Lyhyt elokuva";"For Real Productions FRP Oy";"Joona Louhivuori";2012;2012-03-21
"2252";"TÖMISTELIJÄ (nuorisoraha)";13360;"Kehittämistuki";"Lyhyt elokuva";"Oy Bufo Ab";"Joona Louhivuori";2012;2012-03-20
"2253";"Kajaani 37 (novellielokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"Ahlgren Harjula Konttinen Oy";"Joona Louhivuori";2011;2011-12-07
"2254";"Käsilaukku (novellielokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"Elokuvayhtiö Oy Aamu Ab";"Joona Louhivuori";2011;2011-12-07
"2255";"Sininen uni (novellielokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"Filmiteollisuus Fine Oy";"Joona Louhivuori";2011;2011-12-07
"2256";"Gambian tähdet (novellielelokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"Funfar Films Oy";"Joona Louhivuori";2011;2011-12-07
"2257";"Mona Lisa -ilmiö (novellielokuva)";5000;"Kehittämistuki";"Lyhyt elokuva";"Moskito Television Oy";"Joona Louhivuori";2011;2011-12-07
"2258";"Jäminkipohja (novellielokuva) (ent. Ruovesi)";5000;"Kehittämistuki";"Lyhyt elokuva";"Otto tuotanto Oy";"Joona Louhivuori";2011;2011-12-07
"2259";"Kilpisjärvellä (ent. Revontulet)";10000;"Kehittämistuki";"Lyhyt elokuva";"Oy Bufo Ab";"Joona Louhivuori";2011;2011-12-07
"2260";"KONSTITUTIONAALINEN KOHTUUTTOMUUS (nuorisoraha)";14356;"Kehittämistuki";"Lyhyt elokuva";"Brutal de Lux Oy";"Joona Louhivuori";2011;2011-10-31
"2261";"Näkymätön (nuorisoraha)";20000;"Kehittämistuki";"Lyhyt elokuva";"TACK Films Oy";"Joona Louhivuori";2011;2011-10-26
"2262";"Vaellus - lauluja 3000-luvun lapsille";5000;"Kehittämistuki";"Lyhyt elokuva";"Kroma Productions Oy";"Joona Louhivuori";2011;2011-09-13
"2263";"ALL IN GOOD TIME (nuorisoraha)";19993;"Kehittämistuki";"Lyhyt elokuva";"65 Wilding Films";"Joona Louhivuori";2011;2011-06-07
"2264";"HYVÄ PÄIVÄ";5000;"Kehittämistuki";"Lyhyt elokuva";"It´s Alive Productions Oy";"Joona Louhivuori";2010;2010-12-08
"2265";"KUORINEEN (nuorisoraha)";7000;"Kehittämistuki";"Lyhyt elokuva";"Osuuskunta Korpipaja";"Joona Louhivuori";2010;2010-12-08
"2266";"QUADRATURIN (nuorisoraha)";15000;"Kehittämistuki";"Lyhyt elokuva";"StereoscapeOy";"Joona Louhivuori";2010;2010-10-27
"2267";"DJURENS DAG - ELÄINTEN PÄIVÄ (nuorisoraha)";5000;"Kehittämistuki";"Lyhyt elokuva";"Kinoproduction Oy";"Joona Louhivuori";2010;2010-10-27
