"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"1042";"The Haunting in Connecticut";2895;"2009";"Future Film";2009-07-03;"The Haunting in Connecticut";"USA"
"1043";"Ice Age 3: Dinosaurusten aika";387742;"2009";"FS Film Oy";2009-07-01;"Ice Age 3: Dawn of the Dinosaurs";"USA"
"1044";"Drag Me To Hell";14255;"2009";"Scanbox Finland Oy";2009-06-24;"Drag Me To Hell";"USA"
"1045";"Kauhea kankkunen";111495;"2009";"Sandrew Metronome Dist.";2009-06-24;"The Hangover";"USA"
"1046";"Tieto";22845;"2009";"Nordisk Film Theatrical Distribution Oy";2009-06-24;"Knowing";"USA"
"1047";"Transformers: Kaatuneiden kosto";76878;"2009";"Finnkino Oy";2009-06-24;"Transformers: Revenge of the Fallen";"USA"
"1048";"Antichrist";8503;"2009";"Nordisk Film Theatrical Distribution Oy";2009-06-05;"Antichrist";"TANSKA"
"1049";"Coraline ja toinen todellisuus";19053;"2009";"Finnkino Oy";2009-06-05;"Coraline";"USA"
"1050";"17 again";27011;"2009";"FS Film Oy";2009-06-05;"17 again";"USA"
"1051";"My Bloody Valentine 3D";10864;"2009";"Scanbox Finland Oy";2009-06-02;"My Bloody Valentine";"USA"
"1052";"Terminator - pelastus";72890;"2009";"The Walt Disney Company Nordic";2009-06-02;"Terminator - Salvation";"USA"
"1053";"Kaksinaamaista peliä";9040;"2009";"Finnkino Oy";2009-05-29;"Duplicity";"USA"
"1054";"Ostarin superstevari";2861;"2009";"Sandrew Metronome Dist.";2009-05-29;"Observe and Report";"USA"
"1055";"Pingiskingi";1379;"2009";"Kinoscreen Illusion";2009-05-22;"Pingpong-kingen";"RUOTSI"
"1056";"Viimeinen talo vasemmalla";3146;"2009";"Finnkino Oy";2009-05-22;"Last House on the Left";"USA"
"1057";"Night at the Museum 2";64558;"2009";"FS Film Oy";2009-05-20;"Night at the Museum: Battle of the Smithsonian";"USA"
"1058";"Enkelit ja demonit";200797;"2009";"The Walt Disney Company Nordic";2009-05-13;"Angels & Demons";"USA"
"1059";"Jätä se!";35100;"2009";"FS Film Oy";2009-05-08;"He's Just Not That Into You";"USA"
"1060";"Star Trek";47827;"2009";"Finnkino Oy";2009-05-08;"Star Trek";"USA"
"1061";"Hannah Montana, The Movie";43780;"2009";"The Walt Disney Company Nordic";2009-05-01;"Hannah Montana, The Movie";"USA"
"1062";"State of Play";7018;"2009";"Finnkino Oy";2009-05-01;"State of Play";"USA"
"1063";"Täynnä tarmoa";1389;"2009";"Bio Rex Cinemas";2009-05-01;"Täynnä tarmoa";"SUOMI"
"1064";"X-Men Origins: Wolverine";45493;"2009";"FS Film Oy";2009-05-01;"X-Men Origins: Wolverine";"USA"
"1065";"Che - kapinallinen";4238;"2009";"Scanbox Finland Oy";2009-04-24;"Che - Part Two";"USA"
"1066";"Jonas Brothers: The 3D Concert Experience";0;"2009";"The Walt Disney Company Nordic";2009-04-24;"Jonas Brothers: The 3D Concert Experience";"USA"
"1067";"Scar 3D";7549;"2009";"Future Film";2009-04-24;"Scar 3D";"USA"
"1068";"Mammutti";12493;"2009";"Sandrew Metronome Dist.";2009-04-17;"Mammoth";"RUOTSI-TANSKA"
"1069";"Merirosvoradio";22502;"2009";"Finnkino Oy";2009-04-17;"The Boat That Rocked";"ENGLANTI"
"1070";"Tuplamorsian";7583;"2009";"Nordisk Film Theatrical Distribution Oy";2009-04-17;"The Accidental Husband";"USA"
"1071";"12 Rounds";5288;"2009";"FS Film Oy";2009-04-17;"12 Rounds";"USA"
"1072";"Fast and Furious";76063;"2009";"Finnkino Oy";2009-04-10;"Fast and Furious";"USA"
"1073";"Kerran vielä Harvey";7464;"2009";"Future Film";2009-04-10;"Last Chance Harvey";"USA"
"1074";"Gran Torino";53556;"2009";"Sandrew Metronome Dist.";2009-04-03;"Gran Torino";"USA"
"1075";"Mustesydän";9949;"2009";"FS Film Oy";2009-04-03;"Inkheart";"ENGLANTI"
"1076";"Möröt vastaan muukalaiset";107689;"2009";"Finnkino Oy";2009-04-03;"Monsters vs. Aliens";"USA"
"1077";"Postia pappi Jaakobille";99481;"2009";"Nordisk Film Theatrical Distribution Oy";2009-04-03;"Postia pappi Jaakobille";"SUOMI"
"1078";"Yacoubian - Talo Kairossa";457;"2009";"Scanbox Finland Oy";2009-04-03;"Omaret yakobean";"EGYPTI"
"1079";"Kevytkenkäinen";4808;"2009";"FS Film Oy";2009-03-27;"Easy Virtue";"ENGLANTI"
"1080";"Lukija";30022;"2009";"Sandrew Metronome Dist.";2009-03-27;"The Reader";"USA-SAKSA"
"1081";"Miehet jotka vihaavat naisia";86515;"2009";"Nordisk Film Theatrical Distribution Oy";2009-03-27;"Män som hatar kvinnor";"RUOTSI-TANSKA"
"1082";"Sydämen kuiskaus";3023;"2009";"Cinema Mondo Oy";2009-03-27;"Mimi wo sumaseba";"JAPANI"
"1083";"Marley & Me";40044;"2009";"FS Film Oy";2009-03-20;"Marley & Me";"USA"
"1084";"Toinen jalka haudasta";12911;"2009";"Sandrew Metronome Dist.";2009-03-20;"Toinen jalka haudasta";"SUOMI"
"1085";"Desperon taru";20611;"2009";"Finnkino Oy";2009-03-13;"The Tale of Despereaux";"USA"
"1086";"Iltasatuja";6837;"2009";"The Walt Disney Company Nordic";2009-03-13;"Bedtime Stories";"USA"
"1087";"Slummien miljonääri";188907;"2009";"FS Film Oy";2009-03-13;"Slumdog Millionaire";"ENGLANTI"
"1088";"The Unborn";10674;"2009";"Finnkino Oy";2009-03-13;"The Unborn";"USA"
"1089";"Himoshoppaajan salaiset unelmat";49149;"2009";"The Walt Disney Company Nordic";2009-03-06;"Confessions of a Shopaholic";"USA"
"1090";"Kapteeni Abu Raed";1185;"2009";"Finnkino Oy";2009-03-06;"Captain Abu Raed";"JORDANIA"
"1091";"Laputa - linna taivaalla";6184;"2009";"Cinema Mondo Oy";2009-03-06;"Tenku no shiro rapyuta";"JAPANI"
"1092";"Lasse-Maijan etsivätoimisto - kameleontin kosto";1505;"2009";"FS Film Oy";2009-03-06;"LasseMajas detektivbyrå - Kameleontens hämnd";"RUOTSI"
"1093";"Pride and Glory";3760;"2009";"FS Film Oy";2009-03-06;"Pride and Glory";"USA"
"1094";"Watchmen";65476;"2009";"Finnkino Oy";2009-03-06;"Watchmen";"USA"
"1095";"Che - Part One";20016;"2009";"Scanbox Finland Oy";2009-02-27;"Che - Part One";"USA"
"1096";"Herttuatar";9859;"2009";"Sandrew Metronome Dist.";2009-02-27;"The Duchess";"ENGLANTI"
"1097";"Koirahotelli";11799;"2009";"Finnkino Oy";2009-02-27;"Hotel For Dogs";"USA-SAKSA"
"1098";"Ralliraita";59034;"2009";"The Walt Disney Company Nordic";2009-02-27;"Ralliraita";"SUOMI"
"1099";"The International";9467;"2009";"The Walt Disney Company Nordic";2009-02-27;"The International";"USA"
"1100";"Benjamin Buttonin uskomaton elämä";90635;"2009";"Sandrew Metronome Dist.";2009-02-20;"The Curious Case of Benjamin Button";"USA"
"1101";"Patrik 1,5";2880;"2009";"FS Film Oy";2009-02-20;"Patrik 1,5";"RUOTSI"
"1102";"Uhma";5175;"2009";"Scanbox Finland Oy";2009-02-20;"Defiance";"USA"
"1103";"Waltz With bashir";5353;"2009";"Future Film";2009-02-20;"Vals im Bashir";"ISRAEL"
"1104";"Bolt";161872;"2009";"The Walt Disney Company Nordic";2009-02-13;"Bolt";"USA"
"1105";"Friday the 13th";6834;"2009";"Finnkino Oy";2009-02-13;"Friday the 13th";"USA"
"1106";"Kielletty hedelmä";115904;"2009";"Sandrew Metronome Dist.";2009-02-13;"Kielletty hedelmä";"SUOMI"
"1107";"Vaaleanpunainen pantteri 2";31561;"2009";"The Walt Disney Company Nordic";2009-02-13;"The Pink Panther 2";"USA"
"1108";"Wild Child";11166;"2009";"Finnkino Oy";2009-02-13;"Wild Child";"USA-ENGLANTI-RANSKA"
"1109";"Gomorrah";12529;"2009";"Cinema Mondo Oy";2009-02-06;"Gomorrah";"ITALIA"
"1110";"Milk";16258;"2009";"FS Film Oy";2009-02-06;"Milk";"USA"
"1111";"Morsianten sota";18630;"2009";"FS Film Oy";2009-02-06;"Bride Wars";"USA"
"1112";"Seitsemän elämää";5275;"2009";"The Walt Disney Company Nordic";2009-02-06;"Seven Pounds";"USA"
"1113";"Doubt - epäilys";11145;"2009";"The Walt Disney Company Nordic";2009-01-30;"Doubt";"USA"
"1114";"Muukalainen";1961;"2009";"Sandrew Metronome Dist.";2009-01-30;"Muukalainen";"SUOMI"
"1115";"Operation Valkyria";56728;"2009";"FS Film Oy";2009-01-30;"Valkyrie";"USA-SAKSA"
"1116";"Revolutionary Road";47814;"2009";"Finnkino Oy";2009-01-30;"Revolutionary Road";"USA-ENGLANTI"
"1117";"Frost/Nixon";3579;"2009";"Finnkino Oy";2009-01-23;"Frost/Nixon";"USA-ENGLANTI-RANSKA"
"1118";"Liikkumavara";130;"2009";"Pirkanmaan Elokuvakeskus";2009-01-23;"Liikkumavara";"SUOMI"
"1119";"Luokka";15341;"2009";"Cinema Mondo Oy";2009-01-23;"Entre les murs";"RANSKA"
"1120";"Maata meren alla";6717;"2009";"Sandrew Metronome Dist.";2009-01-23;"Maata meren alla";"SUOMI"
"1121";"The Spirit";9215;"2009";"The Walt Disney Company Nordic";2009-01-23;"The Spirit";"USA"
"1122";"Discomadot";12800;"2009";"FS Film Oy";2009-01-16;"Disco ormene";"SAKSA"
"1123";"Poika raidallisessa pyjamassa";2972;"2009";"The Walt Disney Company Nordic";2009-01-16;"The Boy in the Striped Pyjamas";"ENGLANTI"
"1124";"The Wrestler - Painija";41096;"2009";"Cinema Mondo Oy";2009-01-16;"The Wrestler";"USA"
"1125";"Changeling - vaihdokas";25835;"2009";"Finnkino Oy";2009-01-09;"Changeling";"ENGLANTI"
"1126";"Flash of Genius";211;"2009";"FS Film Oy";2009-01-09;"Flash of Genius";"USA"
"1127";"Rööperi";260020;"2009";"Nordisk Film Theatrical Distribution Oy";2009-01-09;"Rööperi";"SUOMI"
"1128";"Taken";5274;"2009";"Scanbox Finland Oy";2009-01-09;"Taken";"RANSKA"
"1129";"Kauneuden valta - Elegy";6110;"2009";"Future Film";2009-01-02;"Elegy";"USA"
"1130";"Rock'n Rolla";7679;"2009";"Sandrew Metronome Dist.";2009-01-02;"Rock'n Rolla";"ENGLANTI"
"1131";"Twilight - houkutus";156135;"2009";"Nordisk Film Theatrical Distribution Oy";2009-01-02;"Twilight";"USA"
"1132";"W.";6762;"2009";"Nordisk Film Theatrical Distribution Oy";2009-01-02;"W.";"USA"
"1133";"Australia";125243;"2008";"FS Film Oy";2008-12-26;"Australia";"USA"
"1134";"Beverly Hillsin hienostohauva";21444;"2008";"The Walt Disney Company Nordic";2008-12-26;"Beverly Hills Chihuahua";"USA"
"1135";"Blackout";54523;"2008";"FS Film Oy";2008-12-26;"Blackout";"SUOMI"
"1136";"Kärpäsenä kuuhun";10741;"2008";"Nordisk Film Theatrical Distribution Oy";2008-12-26;"Fly Me to the Moon 3D";"BELGIA"
"1137";"The Women";16380;"2008";"Nordisk Film Theatrical Distribution Oy";2008-12-26;"The Women";"USA"
"1138";"Yes Man";123668;"2008";"Sandrew Metronome Dist.";2008-12-26;"Yes Man";"USA"
"1139";"Marttyyrit";8568;"2008";"Cinema Mondo Oy";2008-12-25;"Martyrs";"RANSKA"
"1140";"Mad Money - Hulluna rahaan";4255;"2008";"Future Film";2008-12-19;"Mad Money";"USA"
"1141";"Zack & Miri puuhaa pornoo";16227;"2008";"Nordisk Film Theatrical Distribution Oy";2008-12-19;"Zack & Miri Make a Porno";"USA"
"1142";"Mimmi lehmä ja varis";44013;"2008";"FS Film Oy";2008-12-12;"Mamma Mu och Kråkan";"RUOTSI"
"1143";"Päivä jona maailma pysähtyi";37969;"2008";"FS Film Oy";2008-12-12;"The day the earth stood still";"USA"
"1144";"Rachel Getting Married";4405;"2008";"The Walt Disney Company Nordic";2008-12-12;"Rachel Getting Married";"USA"
"1145";"Pieniä ihmeitä";53;"2008";"Kinoscreen Illusion";2008-12-05;"Små och stora mirakel";"RUOTSI"
"1146";"Putoavia enkeleitä";37414;"2008";"Sandrew Metronome Dist.";2008-12-05;"Putoavia enkeleitä";"SUOMI"
"1147";"Seikkailevat soittimet";868;"2008";"Future Film";2008-12-05;"Piccolo, Saxo et compagnie";"RANSKA"
"1148";"Sex Drive";6206;"2008";"Nordisk Film Theatrical Distribution Oy";2008-12-05;"Sex Drive";"USA"
"1149";"The Fall";4602;"2008";"Scanbox Finland Oy";2008-12-05;"The Fall";"INTIA-ENGLANTI-USA"
"1150";"Eräs joulutarina";9865;"2008";"Cinema Mondo Oy";2008-11-28;"Un conte de noel";"RANSKA"
"1151";"The Visitor";3421;"2008";"FS Film Oy";2008-11-28;"The Visitor";"USA"
"1152";"Valheiden verkko";14249;"2008";"Sandrew Metronome Dist.";2008-11-28;"Body of Lies";"USA"
"1153";"Ystävät hämärän jälkeen";5729;"2008";"Sandrew Metronome Dist.";2008-11-28;"Låt den rätte komma in";"RUOTSI"
"1154";"Burn after reading";50491;"2008";"FS Film Oy";2008-11-21;"Burn after reading";"USA"
"1155";"Madagaskar 2";253285;"2008";"Finnkino Oy";2008-11-21;"MADAGASCAR: ESCAPE 2 AFRICA";"USA"
"1156";"Maradona";1820;"2008";"Cinema Mondo Oy";2008-11-21;"Maradona by Kusturica";"RANSKA"
"1157";"Tyttösi sun ja mun";5817;"2008";"Scanbox Finland Oy";2008-11-21;"My Best Friend’s Girl";"USA"
"1158";"Baby Mama";398;"2008";"Finnkino Oy";2008-11-14;"Baby Mama";"USA"
"1159";"Blindness";4227;"2008";"Sandrew Metronome Dist.";2008-11-14;"Blindness";"KANADA-BRASILIA"
"1160";"Kolme viisasta miestä";2987;"2008";"FS Film Oy";2008-11-14;"Kolme viisasta miestä";"SUOMI"
"1161";"Filth And Wisdom";2423;"2008";"Cinema Mondo Oy";2008-11-07;"Filth And Wisdom";"ENGLANTI"
"1162";"Ikuistetut hetket";17589;"2008";"Sandrew Metronome Dist.";2008-11-07;"Maria Larssons eviga ögonblick";"RUOTSI-TANSKA-SUOMI"
"1163";"Quantum of Solace";467491;"2008";"The Walt Disney Company Nordic";2008-11-07;"Quantum of Solace";"ENGLANTI"
"1164";"Bangkok Dangerous";5228;"2008";"Nordisk Film Theatrical Distribution Oy";2008-10-31;"Bangkok Dangerous";"USA"
"1165";"Saw V";19210;"2008";"Scanbox Finland Oy";2008-10-31;"Saw V";"USA"
"1166";"Standard Operating Procedure";233;"2008";"Cinema Mondo Oy";2008-10-31;"Standard Operating Procedure";"USA"
"1167";"Vicky Cristina Barcelona";92713;"2008";"Scanbox Finland Oy";2008-10-31;"Vicky Cristina Barcelona";"USA-ESPANJA"
"1168";"Baader Meinhof Komplex";9655;"2008";"Nordisk Film Theatrical Distribution Oy";2008-10-24;"Der Baader Meinhof Komplex";"SAKSA"
"1169";"Death Race - kuolonajot";5858;"2008";"Finnkino Oy";2008-10-24;"DEATH RACE";"USA"
"1170";"High School Musical 3: Senior Year";79119;"2008";"The Walt Disney Company Nordic";2008-10-24;"High School Musical 3: Senior Year";"USA"
"1171";"Sauna";21503;"2008";"Sandrew Metronome Dist.";2008-10-24;"Sauna";"SUOMI"
"1172";"A Complete History of My Sexual Failures";3453;"2008";"Cinema Mondo Oy";2008-10-17;"A Complete History of My Sexual Failures";"ENGLANTI"
"1173";"Max Payne";48364;"2008";"FS Film Oy";2008-10-17;"Max Payne";"USA"
"1174";"Nim ja salainen saari";1675;"2008";"Sandrew Metronome Dist.";2008-10-17;"Nim's Island";"USA"
"1175";"Lars ja se ainoa oikea";2685;"2008";"Finnkino Oy";2008-10-10;"LARS AND THE REAL GIRL";"USA"
"1176";"Niko - lentäjän poika";233664;"2008";"Nordisk Film Theatrical Distribution Oy";2008-10-10;"Niko - lentäjän poika";"SUOMI-IRLANTI-TANSKA-SAKSA"
"1177";"Susi";765;"2008";"The Walt Disney Company Nordic";2008-10-10;"Varg";"RUOTSI"
"1178";"99 frangia";8963;"2008";"Cinema Mondo Oy";2008-10-10;"99 F";"RANSKA"
"1179";"Babylon A.D.";8245;"2008";"Nordisk Film Theatrical Distribution Oy";2008-10-03;"Babylon A.D.";"USA-RANSKA"
"1180";"Eagle Eye";20833;"2008";"Finnkino Oy";2008-10-03;"EAGLE EYE";"USA"
"1181";"Oikeuden kasvot";19727;"2008";"Future Film";2008-10-03;"Righteous Kill";"USA"
"1182";"Son of Rambow";1251;"2008";"Sandrew Metronome Dist.";2008-10-03;"Son of Rambow";"ENGLANTI"
"1183";"Päätalo";117478;"2008";"Nordisk Film Theatrical Distribution Oy";2008-09-26;"Päätalo";"SUOMI"
"1184";"The Strangers";13028;"2008";"Sandrew Metronome Dist.";2008-09-26;"The Strangers";"USA"
"1185";"Tuulen laakson Nausicaä";9912;"2008";"Cinema Mondo Oy";2008-09-26;"Kaze no tani no Naushika";"JAPANI"
"1186";"Katastrofin aineksia";14463;"2008";"Finnkino Oy";2008-09-19;"RECIPES FOR DISASTER";"SUOMI"
"1187";"Tropic Thunder";38637;"2008";"Finnkino Oy";2008-09-19;"TROPIC THUNDER";"USA"
"1188";"Kukkoilijat";5195;"2008";"Scanbox Finland Oy";2008-09-12;"In Bruges";"ENGLANTI-BELGIA"
"1189";"Kummeli alivuokralainen";191996;"2008";"Nordisk Film Theatrical Distribution Oy";2008-09-12;"Kummeli alivuokralainen";"SUOMI"
"1190";"Kuningattaren sisar";10740;"2008";"Sandrew Metronome Dist.";2008-09-12;"The Other Boleyn Girl";"ENGLANTI"
"1191";"Erottamattomat";23683;"2008";"Nordisk Film Theatrical Distribution Oy";2008-09-05;"Erottamattomat";"SUOMI"
"1192";"Hellboy2: The Golden Army";23259;"2008";"Finnkino Oy";2008-09-05;"HELLBOY 2: THE GOLDEN ARMY";"USA"
"1193";"Maalaukseen kadonnut nainen";7765;"2008";"Cinema Mondo Oy";2008-09-05;"Ce que mes yeux ont vu";"RANSKA"
"1194";"Matka maan keskipisteeseen 3D";46481;"2008";"FS Film Oy";2008-09-05;"Journey to the centre of the earth 3D";"USA"
"1195";"Wall-E";174885;"2008";"The Walt Disney Company Nordic";2008-09-05;"Wall-E";"USA"
"1196";"Get Smart";46963;"2008";"Sandrew Metronome Dist.";2008-08-29;"Get Smart";"USA"
"1197";"Happy-Go-Lucky";13088;"2008";"Sandrew Metronome Dist.";2008-08-29;"Happy-Go-Lucky";"ENGLANTI"
"1198";"Käsky";35744;"2008";"FS Film Oy";2008-08-29;"Käsky";"SUOMI"
"1199";"Arn - Pohjoinen valtakunta";8529;"2008";"FS Film Oy";2008-08-22;"Arn - Riket vid vägens slut";"RUOTSI"
"1200";"Ben X";2702;"2008";"Future Film";2008-08-22;"Ben X";"BELGIA-ALANKOMAAT"
"1201";"Space Chimps";4884;"2008";"Scanbox Finland Oy";2008-08-22;"Space Chimps";"USA"
"1202";"Zohan - lupa saksia";12121;"2008";"The Walt Disney Company Nordic";2008-08-22;"You Don't Mess With The Zohan";"USA"
"1203";"Love guru";7583;"2008";"FS Film Oy";2008-08-15;"Love guru";"USA"
"1204";"Myrsky";112163;"2008";"The Walt Disney Company Nordic";2008-08-15;"Myrsky";"SUOMI"
"1205";"Star Wars: Clone Wars";17756;"2008";"Sandrew Metronome Dist.";2008-08-15;"Star Wars: Clone Wars";"USA"
"1206";"Kautokeinon kapina";6922;"2008";"Sandrew Metronome Dist.";2008-08-08;"Kautokeino-oppröret";"NORJA"
"1207";"Muumio 3: lohikäärmekeisarin hauta";41562;"2008";"Finnkino Oy";2008-08-08;"THE MUMMY: THE TOMB OF THE DRAGON EMPEROR";"USA"
"1208";"Tulikärpäsiä puutarhassa";6476;"2008";"Nordisk Film Theatrical Distribution Oy";2008-08-08;"Fireflies in the Garden";"USA"
"1209";"All the Boys Love Mandy Lane";2796;"2008";"Future Film";2008-08-01;"All the Boys Love Mandy Lane";"USA"
"1210";"Kung fu panda";173325;"2008";"Finnkino Oy";2008-08-01;"KUNG FU PANDA";"USA"
"1211";"X Files - usko koetuksella";23831;"2008";"FS Film Oy";2008-08-01;"X Files I want to believe";"USA"
"1212";"Miss Pettigrew - päivä täynnä elämää";4882;"2008";"FS Film Oy";2008-07-25;"Miss Pettigrew lives for a day";"ENGLANTI-USA"
"1213";"Richard O:n tarina";816;"2008";"Cinema Mondo Oy";2008-07-25;"L'histoire de Richard O.";"RANSKA"
"1214";"The Forbidden Kingdom - Kaksi mestaria";5344;"2008";"Scanbox Finland Oy";2008-07-25;"The Forbidden Kingdom";"USA"
"1215";"Yön ritari";296337;"2008";"Sandrew Metronome Dist.";2008-07-25;"The Dark Knight";"USA"
"1216";"An American Crime";1467;"2008";"Future Film";2008-07-18;"An American Crime";"USA"
"1217";"Mamma mia!";404112;"2008";"Finnkino Oy";2008-07-18;"Mamma Mia!";"ENGLANTI-USA"
"1218";"O’Horten";821;"2008";"Scanbox Finland Oy";2008-07-18;"O’Horten";"NORJA"
"1219";"Hancock";93816;"2008";"The Walt Disney Company Nordic";2008-07-11;"Hancock";"USA"
"1220";"Pankkikeikka";9501;"2008";"Nordisk Film Theatrical Distribution Oy";2008-07-11;"The Bank Job";"ENGLANTI"
"1221";"Tähtivieras Dave";6607;"2008";"FS Film Oy";2008-07-11;"Meet Dave";"USA"
"1222";"Once";39215;"2008";"Cinema Mondo Oy";2008-07-04;"Once";"IRLANTI"
"1223";"Narnian tarinat: Prinssi Kaspian";84735;"2008";"The Walt Disney Company Nordic";2008-07-02;"The Chronicles of Narnia: Prince Caspian";"USA-ENGLANTI"
"1224";"Wanted";46273;"2008";"Finnkino Oy";2008-06-27;"Wanted";"USA"
"1225";"Step Up 2 the Streets";22463;"2008";"Nordisk Film Theatrical Distribution Oy";2008-06-20;"Step Up 2 the Streets";"USA"
"1226";"21";11917;"2008";"The Walt Disney Company Nordic";2008-06-20;"21";"USA"
"1227";"The Happening";32540;"2008";"FS Film Oy";2008-06-13;"The Happening";"USA"
"1228";"The Incredible Hulk";18205;"2008";"Finnkino Oy";2008-06-13;"THE INCREDIBLE HULK";"USA"
"1229";"Lumottu lelukauppa";13537;"2008";"Nordisk Film Theatrical Distribution Oy";2008-06-06;"Mr. Magorium's Wonder Emporium";"USA"
"1230";"Sinkkuelämää";375453;"2008";"FS Film Oy";2008-06-06;"Sex and the City";"USA"
"1231";"Speed Racer";3623;"2008";"Sandrew Metronome Dist.";2008-06-06;"Speed Racer";"USA"
"1232";"Made of Honor";16379;"2008";"The Walt Disney Company Nordic";2008-05-30;"Made of Honor";"USA"
"1233";"Indiana Jones ja kristallikallon valtakunta";255661;"2008";"Finnkino Oy";2008-05-23;"Indiana Jones and the Kingdom of the Crystal Skull";"USA"
"1234";"Doomsday";5501;"2008";"Scanbox Finland Oy";2008-05-16;"Doomsday";"ENGLANTI"
"1235";"Tapahtui Vegasissa";48547;"2008";"FS Film Oy";2008-05-09;"What happens in Vegas";"USA"
"1236";"The Mist - Usva";8907;"2008";"Future Film";2008-05-09;"The Mist";"USA"
"1237";"Iron Man";52726;"2008";"Finnkino Oy";2008-05-01;"Iron Man";"USA"
"1238";"Mitäs me spartalaiset";19227;"2008";"FS Film Oy";2008-04-28;"Meet the Spartans";"USA"
"1239";"Dante 01";1935;"2008";"Cinema Mondo Oy";2008-04-25;"Dante 01";"RANSKA"
"1240";"Reservation Road";2223;"2008";"Scanbox Finland Oy";2008-04-25;"Reservation Road";"USA"
"1241";"Sonic Mirror";619;"2008";"Future Film";2008-04-25;"Sonic Mirror";"SVEITSI-SAKSA-SUOMI"
"1242";"Muumi ja vaarallinen juhannus";20537;"2008";"FS Film Oy";2008-04-18;"Muumi ja vaarallinen juhannus";"SUOMI"
"1243";"[Rec]";3024;"2008";"Future Film";2008-04-18;"[Rec]";"ESPANJA"
"1244";"Shine A Light";5288;"2008";"Nordisk Film Theatrical Distribution Oy";2008-04-18;"Shine A Light";"USA-ENGLANTI"
"1245";"The Darjeeling limited";13885;"2008";"FS Film Oy";2008-04-18;"The Darjeeling limited";"USA"
"1246";"Elämä kierrättää";4129;"2008";"Cinema Mondo Oy";2008-04-11;"Vratne lahve";"TSEKINMAA"
"1247";"Nyt tai ei koskaan";37042;"2008";"Sandrew Metronome Dist.";2008-04-11;"The Bucket List";"USA"
"1248";"Street kings";13291;"2008";"FS Film Oy";2008-04-11;"Street kings";"USA"
"1249";"Superhero Movie";21506;"2008";"Future Film";2008-04-11;"Superhero Movie";"USA"
"1250";"Funny Games";6053;"2008";"Nordisk Film Theatrical Distribution Oy";2008-04-04;"Funny Games";"USA"
"1251";"Into the Wild";9332;"2008";"Finnkino Oy";2008-04-04;"INTO THE WILD";"USA"
"1252";"P.S. Rakastan sinua";66339;"2008";"Nordisk Film Theatrical Distribution Oy";2008-04-04;"P.S. I Love You";"USA"
"1253";"Sikin sokin saduissa";2105;"2008";"Scanbox Finland Oy";2008-04-04;"Happily Never After";"USA-SAKSA"
"1254";"The Eye";22367;"2008";"Scanbox Finland Oy";2008-04-04;"The Eye";"USA"
"1255";"Be Kind, Rewind";17123;"2008";"Sandrew Metronome Dist.";2008-03-28;"Be Kind, Rewind";"USA"
"1256";"Leijapoika";20635;"2008";"Sandrew Metronome Dist.";2008-03-28;"The Kite Runner";"USA"
"1257";"Horton";83721;"2008";"FS Film Oy";2008-03-21;"Horton hears a Who";"USA"
"1258";"Orkesterin vierailu";4721;"2008";"The Walt Disney Company Nordic";2008-03-21;"Bikur Ha-Tizmoret";"ISRAEL"
"1259";"Spiderwickin kronikat";22241;"2008";"Finnkino Oy";2008-03-21;"SPIDERWICK CHRONICLES";"USA"
"1260";"Taivaan reunalla";5593;"2008";"Future Film";2008-03-21;"Auf der anderen Seite";"SAKSA-TURKKI-ITALIA"
"1261";"Vantage Point";10848;"2008";"The Walt Disney Company Nordic";2008-03-21;"Vantage Point";"USA"
"1262";"Punk - tauti joka ei tapa";2290;"2008";"Sandrew Metronome Dist.";2008-03-14;"Punk - tauti joka ei tapa";"SUOMI"
"1263";"Rakkautta koleran aikaan";6862;"2008";"Scanbox Finland Oy";2008-03-14;"Love in the Time of Cholera";"USA"
"1264";"Taxidermia";401;"2008";"Cinema Mondo Oy";2008-03-14;"Taxidermia";"UNKARI"
"1265";"10 000 BC";35121;"2008";"Sandrew Metronome Dist.";2008-03-14;"10 000 BC";"USA"
"1266";"27 Dresses - hääkuumetta";20441;"2008";"FS Film Oy";2008-03-14;"27 Dresses";"USA"
"1267";"Jumper";31826;"2008";"FS Film Oy";2008-03-07;"Jumper";"USA"
"1268";"Lou Reed's Berlin";946;"2008";"Scanbox Finland Oy";2008-03-07;"Lou Reed's Berlin";"USA-ENGLANTI"
"1269";"Porco Rosso";13000;"2008";"Cinema Mondo Oy";2008-03-07;"Kurenai no buta";"JAPANI"
"1270";"Cloverfield";20509;"2008";"Finnkino Oy";2008-02-29;"CLOVERFIELD";"USA"
"1271";"Hallam Foe";2687;"2008";"Nordisk Film Theatrical Distribution Oy";2008-02-29;"Hallam Foe";"ENGLANTI"
"1272";"Pyhän kirjan varjo";2183;"2008";"FS Film Oy";2008-02-29;"Pyhän kirjan varjo";"SUOMI"
"1273";"Sweeney Todd - Fleet Streetin paholaisparturi";61339;"2008";"Sandrew Metronome Dist.";2008-02-29;"Sweeney Todd -The Demon Barber of Fleet Street";"USA"
"1274";"Arn - Temppeliritari";23693;"2008";"FS Film Oy";2008-02-22;"Arn - Tempelriddaren";"RUOTSI"
"1275";"Rambo";43253;"2008";"Future Film";2008-02-22;"Rambo";"USA"
"1276";"There Will Be Blood";30666;"2008";"The Walt Disney Company Nordic";2008-02-22;"There Will Be Blood";"USA"
